firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_year
Klaus,von Klitzing,PL,,male,1985.0,physics,1.0,Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,1943.0
Ernst,Ruska,DE,DE,MALE,1986.0,physics,2.0,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,1906.0
Gerd,Binnig,DE,,Male,1986.0,physics,4.0,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1947.0
Heinrich,Rohrer,CH,CH,Male,1986.0,physics,4.0,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1933.0
J. Georg,Bednorz,DE,,Male,1987.0,physics,2.0,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1950.0
K. Alex,Müller,CH,,Male,1987.0,physics,2.0,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,1927.0
Leon M.,Lederman,US,US,male,1988.0,physics,3.0,Fermi National Accelerator Laboratory,Batavia IL,USA,1922.0
Melvin,Schwartz,US,US,male,1988.0,physics,3.0,Digital Pathways Inc.,Mountain View CA,USA,1932.0
Jack,Steinberger,DE,,male,1988.0,physics,3.0,CERN,Geneva,Switzerland,1921.0
Norman F.,Ramsey,US,US,Male,1989.0,physics,2.0,Harvard University,Cambridge MA,USA,1915.0
Hans G.,Dehmelt,DE,US,male,1989.0,physics,4.0,University of Washington,Seattle WA,USA,1922.0
Wolfgang,Paul,DE,DE,male,1989.0,physics,4.0,University of Bonn,Bonn,Germany,1913.0
Jerome I.,Friedman,US,,MALE,1990.0,physics,3.0,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1930.0
Henry W.,Kendall,US,US,MALE,1990.0,physics,3.0,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1926.0
Richard E.,Taylor,CA,US,MALE,1990.0,physics,3.0,Stanford University,Stanford CA,USA,1929.0
Pierre-Gilles,de Gennes,FR,FR,Male,1991.0,physics,1.0,Collège de France,Paris,France,1932.0
Georges,Charpak,PL,FR,male,1992.0,physics,1.0,École Supérieure de Physique et Chimie,Paris,France,1924.0
Russell A.,Hulse,US,,MALE,1993.0,physics,2.0,Princeton University,Princeton NJ,USA,1950.0
Joseph H.,Taylor Jr.,US,,male,1993.0,physics,2.0,Princeton University,Princeton NJ,USA,1941.0
Bertram N.,Brockhouse,CA,CA,male,1994.0,physics,2.0,McMaster University,Hamilton Ontario,Canada,1918.0
Clifford G.,Shull,US,US,Male,1994.0,physics,2.0,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1915.0
Martin L.,Perl,US,US,male,1995.0,physics,2.0,Stanford University,Stanford CA,USA,1927.0
Frederick,Reines,US,US,MALE,1995.0,physics,2.0,University of California,Irvine CA,USA,1918.0
David M.,Lee,US,,male,1996.0,physics,3.0,Cornell University,Ithaca NY,USA,1931.0
Douglas D.,Osheroff,US,,Male,1996.0,physics,3.0,Stanford University,Stanford CA,USA,1945.0
Robert C.,Richardson,US,US,Male,1996.0,physics,3.0,Cornell University,Ithaca NY,USA,1937.0
Steven,Chu,US,,male,1997.0,physics,3.0,Stanford University,Stanford CA,USA,1948.0
Claude,Cohen-Tannoudji,DZ,,Male,1997.0,physics,3.0,Collège de France,Paris,France,1933.0
William D.,Phillips,US,,MALE,1997.0,physics,3.0,National Institute of Standards and Technology,Gaithersburg MD,USA,1948.0
Robert B.,Laughlin,US,,MALE,1998.0,physics,3.0,Stanford University,Stanford CA,USA,1950.0
Horst L.,Störmer,DE,,MALE,1998.0,physics,3.0,Columbia University,New York NY,USA,1949.0
Daniel C.,Tsui,CN,,Male,1998.0,physics,3.0,Princeton University,Princeton NJ,USA,1939.0
Gerardus,'t Hooft,NL,,MALE,1999.0,physics,2.0,Utrecht University,Utrecht,the Netherlands,1946.0
Martinus J.G.,Veltman,NL,,Male,1999.0,physics,2.0,,,,1931.0
Jacobus H.,van 't Hoff,NL,DE,Male,1901.0,chemistry,1.0,Berlin University,Berlin,Germany,1852.0
Emil,Fischer,DE,DE,male,1902.0,chemistry,1.0,Berlin University,Berlin,Germany,1852.0
Svante,Arrhenius,SE,SE,Male,1903.0,chemistry,1.0,Stockholm University,Stockholm,Sweden,1859.0
Sir William,Ramsay,GB,GB,Male,1904.0,chemistry,1.0,University College,London,United Kingdom,1852.0
Adolf,von Baeyer,DE,DE,MALE,1905.0,chemistry,1.0,Munich University,Munich,Germany,1835.0
Henri,Moissan,FR,FR,Male,1906.0,chemistry,1.0,Sorbonne University,Paris,France,1852.0
Eduard,Buchner,DE,RO,Male,1907.0,chemistry,1.0,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1860.0
Ernest,Rutherford,NZ,GB,Male,1908.0,chemistry,1.0,Victoria University,Manchester,United Kingdom,1871.0
Wilhelm,Ostwald,LV,DE,male,1909.0,chemistry,1.0,Leipzig University,Leipzig,Germany,1853.0
Otto,Wallach,RU,DE,MALE,1910.0,chemistry,1.0,Goettingen University,Göttingen,Germany,1847.0
Victor,Grignard,FR,FR,MALE,1912.0,chemistry,2.0,Nancy University,Nancy,France,1871.0
Paul,Sabatier,FR,FR,male,1912.0,chemistry,2.0,Toulouse University,Toulouse,France,1854.0
Alfred,Werner,FR,CH,male,1913.0,chemistry,1.0,University of Zurich,Zurich,Switzerland,1866.0
Theodore W.,Richards,US,US,Male,1914.0,chemistry,1.0,Harvard University,Cambridge MA,USA,1868.0
Richard,Willstätter,DE,CH,Male,1915.0,chemistry,1.0,Munich University,Munich,Germany,1872.0
Fritz,Haber,PL,CH,male,1918.0,chemistry,1.0,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,1868.0
Walther,Nernst,DE,DE,male,1920.0,chemistry,1.0,Berlin University,Berlin,Germany,1864.0
Frederick,Soddy,GB,GB,Male,1921.0,chemistry,1.0,University of Oxford,Oxford,United Kingdom,1877.0
Francis W.,Aston,GB,GB,male,1922.0,chemistry,1.0,University of Cambridge,Cambridge,United Kingdom,1877.0
Fritz,Pregl,SI,AT,MALE,1923.0,chemistry,1.0,Graz University,Graz,Austria,1869.0
Richard,Zsigmondy,AT,DE,male,1925.0,chemistry,1.0,Goettingen University,Göttingen,Germany,1865.0
The,Svedberg,SE,SE,Male,1926.0,chemistry,1.0,Uppsala University,Uppsala,Sweden,1884.0
Heinrich,Wieland,DE,DE,male,1927.0,chemistry,1.0,Munich University,Munich,Germany,1877.0
Adolf,Windaus,DE,DE,MALE,1928.0,chemistry,1.0,Goettingen University,Göttingen,Germany,1876.0
Arthur,Harden,GB,GB,male,1929.0,chemistry,2.0,London University,London,United Kingdom,1865.0
Hans,von Euler-Chelpin,DE,SE,male,1929.0,chemistry,2.0,Stockholm University,Stockholm,Sweden,1873.0
Hans,Fischer,DE,DE,Male,1930.0,chemistry,1.0,Technische Hochschule (Institute of Technology),Munich,Germany,1881.0
Carl,Bosch,DE,DE,MALE,1931.0,chemistry,2.0,University of Heidelberg,Heidelberg,Germany,1874.0
Friedrich,Bergius,PL,AR,Male,1931.0,chemistry,2.0,University of Heidelberg,Heidelberg,Germany,1884.0
Irving,Langmuir,US,US,MALE,1932.0,chemistry,1.0,General Electric Company,Schenectady NY,USA,1881.0
Harold C.,Urey,US,US,male,1934.0,chemistry,1.0,Columbia University,New York NY,USA,1893.0
Frédéric,Joliot,FR,FR,male,1935.0,chemistry,2.0,Institut du Radium,Paris,France,1900.0
Irène,Joliot-Curie,FR,FR,FEMALE,1935.0,chemistry,2.0,Institut du Radium,Paris,France,1897.0
Peter,Debye,NL,US,male,1936.0,chemistry,1.0,Berlin University,Berlin,Germany,1884.0
Norman,Haworth,GB,GB,Male,1937.0,chemistry,2.0,Birmingham University,Birmingham,United Kingdom,1883.0
Paul,Karrer,RU,CH,male,1937.0,chemistry,2.0,University of Zurich,Zurich,Switzerland,1889.0
Richard,Kuhn,AT,DE,MALE,1938.0,chemistry,1.0,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,1900.0
Adolf,Butenandt,DE,DE,male,1939.0,chemistry,2.0,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,1903.0
Leopold,Ruzicka,HR,CH,MALE,1939.0,chemistry,2.0,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1887.0
George,de Hevesy,HU,DE,Male,1943.0,chemistry,1.0,Stockholm University,Stockholm,Sweden,1885.0
Otto,Hahn,DE,DE,male,1944.0,chemistry,1.0,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,1879.0
Artturi,Virtanen,FI,FI,MALE,1945.0,chemistry,1.0,University of Helsinki,Helsinki,Finland,1895.0
James B.,Sumner,US,US,MALE,1946.0,chemistry,2.0,Cornell University,Ithaca NY,USA,1887.0
John H.,Northrop,US,US,Male,1946.0,chemistry,4.0,Rockefeller Institute for Medical Research,Princeton NJ,USA,1891.0
Wendell M.,Stanley,US,ES,MALE,1946.0,chemistry,4.0,Rockefeller Institute for Medical Research,Princeton NJ,USA,1904.0
Sir Robert,Robinson,GB,GB,MALE,1947.0,chemistry,1.0,University of Oxford,Oxford,United Kingdom,1886.0
Arne,Tiselius,SE,SE,MALE,1948.0,chemistry,1.0,Uppsala University,Uppsala,Sweden,1902.0
William F.,Giauque,CA,US,male,1949.0,chemistry,1.0,University of California,Berkeley CA,USA,1895.0
Otto,Diels,DE,DE,MALE,1950.0,chemistry,2.0,Kiel University,Kiel,Germany,1876.0
Kurt,Alder,PL,DE,Male,1950.0,chemistry,2.0,Cologne University,Cologne,Germany,1902.0
Edwin M.,McMillan,US,US,Male,1951.0,chemistry,2.0,University of California,Berkeley CA,USA,1907.0
Glenn T.,Seaborg,US,US,MALE,1951.0,chemistry,2.0,University of California,Berkeley CA,USA,1912.0
Archer J.P.,Martin,GB,GB,MALE,1952.0,chemistry,2.0,National Institute for Medical Research,London,United Kingdom,1910.0
Richard L.M.,Synge,GB,GB,MALE,1952.0,chemistry,2.0,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,1914.0
Hermann,Staudinger,DE,DE,MALE,1953.0,chemistry,1.0,University of Freiburg,Breisgau,Germany,1881.0
