id,country,year,sex
673,Anguilla,2013.0,female
674,Anguilla,2013.0,female
675,Anguilla,2013.0,female
676,Anguilla,2013.0,female
677,Anguilla,2013.0,female
678,Anguilla,2013.0,female
679,Anguilla,2013.0,male
680,Anguilla,2013.0,male
681,Anguilla,2013.0,male
682,Anguilla,2013.0,male
683,Anguilla,2013.0,male
684,Anguilla,2013.0,male
685,Anguilla,2014.0,female
686,Anguilla,2014.0,female
687,Anguilla,2014.0,female
688,Anguilla,2014.0,female
689,Anguilla,2014.0,female
690,Anguilla,2014.0,female
691,Anguilla,2014.0,male
692,Anguilla,2014.0,male
693,Anguilla,2014.0,male
694,Anguilla,2014.0,male
695,Anguilla,2014.0,male
696,Anguilla,2014.0,male
697,Anguilla,2015.0,female
698,Anguilla,2015.0,female
699,Anguilla,2015.0,female
700,Anguilla,2015.0,female
701,Anguilla,2015.0,female
702,Anguilla,2015.0,female
703,Anguilla,2015.0,male
704,Anguilla,2015.0,male
705,Anguilla,2015.0,male
706,Anguilla,2015.0,male
707,Anguilla,2015.0,male
708,Anguilla,2015.0,male
709,Anguilla,2016.0,female
710,Anguilla,2016.0,female
711,Anguilla,2016.0,female
712,Anguilla,2016.0,female
713,Anguilla,2016.0,female
714,Anguilla,2016.0,female
715,Anguilla,2016.0,male
716,Anguilla,2016.0,male
717,Anguilla,2016.0,male
718,Anguilla,2016.0,male
719,Anguilla,2016.0,male
720,Anguilla,2016.0,male
721,Antigua and Barbuda,1983.0,female
722,Antigua and Barbuda,1983.0,female
723,Antigua and Barbuda,1983.0,female
724,Antigua and Barbuda,1983.0,female
725,Antigua and Barbuda,1983.0,female
726,Antigua and Barbuda,1983.0,female
727,Antigua and Barbuda,1983.0,male
728,Antigua and Barbuda,1983.0,male
729,Antigua and Barbuda,1983.0,male
730,Antigua and Barbuda,1983.0,male
731,Antigua and Barbuda,1983.0,male
732,Antigua and Barbuda,1983.0,male
733,Antigua and Barbuda,1985.0,female
734,Antigua and Barbuda,1985.0,female
735,Antigua and Barbuda,1985.0,female
736,Antigua and Barbuda,1985.0,female
737,Antigua and Barbuda,1985.0,female
738,Antigua and Barbuda,1985.0,female
739,Antigua and Barbuda,1985.0,male
740,Antigua and Barbuda,1985.0,male
741,Antigua and Barbuda,1985.0,male
742,Antigua and Barbuda,1985.0,male
743,Antigua and Barbuda,1985.0,male
744,Antigua and Barbuda,1985.0,male
745,Antigua and Barbuda,1986.0,female
746,Antigua and Barbuda,1986.0,female
747,Antigua and Barbuda,1986.0,female
748,Antigua and Barbuda,1986.0,female
749,Antigua and Barbuda,1986.0,female
750,Antigua and Barbuda,1986.0,female
751,Antigua and Barbuda,1986.0,male
752,Antigua and Barbuda,1986.0,male
753,Antigua and Barbuda,1986.0,male
754,Antigua and Barbuda,1986.0,male
755,Antigua and Barbuda,1986.0,male
756,Antigua and Barbuda,1986.0,male
757,Antigua and Barbuda,1987.0,female
758,Antigua and Barbuda,1987.0,female
759,Antigua and Barbuda,1987.0,female
760,Antigua and Barbuda,1987.0,female
761,Antigua and Barbuda,1987.0,female
762,Antigua and Barbuda,1987.0,female
763,Antigua and Barbuda,1987.0,male
764,Antigua and Barbuda,1987.0,male
765,Antigua and Barbuda,1987.0,male
766,Antigua and Barbuda,1987.0,male
