id,country,year
425,Anguilla,1987.1
426,Anguilla,1987.1
427,Anguilla,1987.1
428,Anguilla,1987.1
429,Anguilla,1987.1
430,Anguilla,1987.1
431,Anguilla,1987.1
432,Anguilla,1987.1
433,Anguilla,1988.1
434,Anguilla,1988.1
435,Anguilla,1988.1
436,Anguilla,1988.1
437,Anguilla,1988.1
438,Anguilla,1988.1
439,Anguilla,1988.1
440,Anguilla,1988.1
441,Anguilla,1988.1
442,Anguilla,1988.1
443,Anguilla,1988.1
444,Anguilla,1988.1
445,Anguilla,1989.1
446,Anguilla,1989.1
447,Anguilla,1989.1
448,Anguilla,1989.1
449,Anguilla,1989.1
450,Anguilla,1989.1
451,Anguilla,1989.1
452,Anguilla,1989.1
453,Anguilla,1989.1
454,Anguilla,1989.1
455,Anguilla,1989.1
456,Anguilla,1989.1
457,Anguilla,1990.1
458,Anguilla,1990.1
459,Anguilla,1990.1
460,Anguilla,1990.1
461,Anguilla,1990.1
462,Anguilla,1990.1
463,Anguilla,1990.1
464,Anguilla,1990.1
465,Anguilla,1990.1
466,Anguilla,1990.1
467,Anguilla,1990.1
468,Anguilla,1990.1
469,Anguilla,1991.1
470,Anguilla,1991.1
471,Anguilla,1991.1
472,Anguilla,1991.1
473,Anguilla,1991.1
474,Anguilla,1991.1
475,Anguilla,1991.1
476,Anguilla,1991.1
477,Anguilla,1991.1
478,Anguilla,1991.1
479,Anguilla,1991.1
480,Anguilla,1991.1
481,Anguilla,1992.1
482,Anguilla,1992.1
483,Anguilla,1992.1
484,Anguilla,1992.1
485,Anguilla,1992.1
486,Anguilla,1992.1
487,Anguilla,1992.1
488,Anguilla,1992.1
489,Anguilla,1992.1
490,Anguilla,1992.1
491,Anguilla,1992.1
492,Anguilla,1992.1
493,Anguilla,1993.1
494,Anguilla,1993.1
495,Anguilla,1993.1
496,Anguilla,1993.1
497,Anguilla,1993.1
498,Anguilla,1993.1
499,Anguilla,1993.1
500,Anguilla,1993.1
501,Anguilla,1993.1
502,Anguilla,1993.1
503,Anguilla,1993.1
504,Anguilla,1993.1
505,Anguilla,1994.1
506,Anguilla,1994.1
507,Anguilla,1994.1
508,Anguilla,1994.1
509,Anguilla,1994.1
510,Anguilla,1994.1
511,Anguilla,1994.1
512,Anguilla,1994.1
513,Anguilla,1994.1
514,Anguilla,1994.1
