id,age,suicides_no,population
21965,55-74 years,0.0,22500.0
21966,75+ years,0.0,2500.0
21967,15-24 years,2.0,137100.0
21968,25-34 years,8.0,279700.0
21969,35-54 years,7.0,289600.0
21970,5-14 years,0.0,154600.0
21971,55-74 years,1.0,41900.0
21972,75+ years,0.0,3200.0
21973,15-24 years,1.0,116400.0
21974,25-34 years,2.0,138600.0
21975,35-54 years,2.0,128200.0
21976,5-14 years,0.0,155100.0
21977,55-74 years,0.0,23300.0
21978,75+ years,0.0,2600.0
21979,15-24 years,5.0,142900.0
21980,25-34 years,9.0,292900.0
21981,35-54 years,7.0,303300.0
21982,5-14 years,0.0,160900.0
21983,55-74 years,0.0,43700.0
21984,75+ years,0.0,3200.0
21985,15-24 years,3.0,120600.0
21986,25-34 years,8.0,143900.0
21987,35-54 years,0.0,133200.0
21988,5-14 years,0.0,160800.0
21989,55-74 years,0.0,24200.0
21990,75+ years,0.0,2700.0
21991,15-24 years,1.0,148200.0
21992,25-34 years,10.0,304400.0
21993,35-54 years,6.0,315300.0
21994,5-14 years,0.0,166800.0
21995,55-74 years,2.0,45300.0
21996,75+ years,0.0,3300.0
21997,15-24 years,5.0,124500.0
21998,25-34 years,7.0,148300.0
21999,35-54 years,5.0,137300.0
22000,5-14 years,0.0,165900.0
22001,55-74 years,0.0,25000.0
22002,75+ years,0.0,2700.0
22003,15-24 years,2.0,153000.0
22004,25-34 years,10.0,313700.0
22005,35-54 years,3.0,324800.0
22006,5-14 years,0.0,172100.0
22007,55-74 years,1.0,46700.0
22008,75+ years,0.0,3500.0
22009,15-24 years,3.0,137997.0
22010,25-34 years,6.0,176454.0
22011,35-54 years,6.0,184143.0
22012,5-14 years,0.0,166981.0
22013,55-74 years,0.0,32097.0
22014,75+ years,0.0,3970.0
22015,15-24 years,1.0,151264.0
22016,25-34 years,10.0,342775.0
22017,35-54 years,8.0,396063.0
22018,5-14 years,0.0,173841.0
22019,55-74 years,1.0,56327.0
22020,75+ years,0.0,3854.0
22021,15-24 years,1.0,142800.0
22022,25-34 years,7.0,182700.0
22023,35-54 years,5.0,190600.0
22024,5-14 years,0.0,172800.0
22025,55-74 years,0.0,33300.0
22026,75+ years,0.0,4200.0
22027,15-24 years,2.0,157500.0
22028,25-34 years,16.0,357800.0
22029,35-54 years,14.0,413600.0
22030,5-14 years,1.0,180700.0
22031,55-74 years,0.0,58700.0
22032,75+ years,0.0,4000.0
22033,15-24 years,2.0,147681.0
22034,25-34 years,10.0,189015.0
22035,35-54 years,2.0,197224.0
22036,5-14 years,0.0,178644.0
22037,55-74 years,0.0,34331.0
22038,75+ years,0.0,4246.0
22039,15-24 years,3.0,163848.0
22040,25-34 years,11.0,373318.0
22041,35-54 years,5.0,431562.0
22042,5-14 years,0.0,187983.0
22043,55-74 years,1.0,61145.0
22044,75+ years,0.0,4156.0
22045,15-24 years,0.0,158070.0
22046,25-34 years,3.0,197334.0
22047,35-54 years,2.0,209093.0
22048,5-14 years,0.0,180414.0
22049,55-74 years,0.0,38503.0
22050,75+ years,0.0,4919.0
22051,15-24 years,2.0,172345.0
22052,25-34 years,8.0,367180.0
22053,35-54 years,15.0,453739.0
22054,5-14 years,0.0,189011.0
22055,55-74 years,0.0,63433.0
22056,75+ years,0.0,4489.0
22057,15-24 years,2.0,168033.0
22058,25-34 years,5.0,213750.0
22059,35-54 years,4.0,225709.0
22060,5-14 years,0.0,183948.0
22061,55-74 years,0.0,41294.0
22062,75+ years,0.0,5290.0
22063,15-24 years,5.0,185185.0
22064,25-34 years,11.0,388020.0
22065,35-54 years,18.0,482228.0
22066,5-14 years,0.0,193020.0
22067,55-74 years,0.0,67364.0
22068,75+ years,0.0,4762.0
22069,15-24 years,2.0,167291.0
22070,25-34 years,9.0,185021.0
22071,35-54 years,3.0,208524.0
22072,5-14 years,0.0,172216.0
22073,55-74 years,0.0,44516.0
22074,75+ years,0.0,3525.0
22075,15-24 years,2.0,209956.0
22076,25-34 years,11.0,296337.0
22077,35-54 years,17.0,397654.0
22078,5-14 years,0.0,190628.0
22079,55-74 years,0.0,70627.0
22080,75+ years,0.0,4327.0
22081,15-24 years,3.0,168373.0
22082,25-34 years,7.0,192013.0
22083,35-54 years,7.0,212485.0
22084,5-14 years,0.0,175678.0
22085,55-74 years,0.0,47016.0
22086,75+ years,0.0,3453.0
22087,15-24 years,5.0,206153.0
22088,25-34 years,6.0,318728.0
22089,35-54 years,17.0,402163.0
22090,5-14 years,0.0,192791.0
22091,55-74 years,0.0,73036.0
22092,75+ years,0.0,4197.0
22093,15-24 years,3.0,168662.0
22094,25-34 years,7.0,203126.0
22095,35-54 years,1.0,220232.0
22096,5-14 years,0.0,181830.0
22097,55-74 years,0.0,49714.0
22098,75+ years,0.0,3575.0
22099,15-24 years,2.0,201000.0
22100,25-34 years,21.0,346283.0
22101,35-54 years,17.0,413321.0
22102,5-14 years,0.0,195927.0
22103,55-74 years,1.0,74974.0
22104,75+ years,0.0,4324.0
22105,15-24 years,2.0,182410.0
22106,25-34 years,5.0,215556.0
22107,35-54 years,3.0,235105.0
22108,5-14 years,0.0,187102.0
22109,55-74 years,1.0,50864.0
22110,75+ years,0.0,3887.0
22111,15-24 years,2.0,215810.0
22112,25-34 years,18.0,360383.0
22113,35-54 years,14.0,432150.0
22114,5-14 years,0.0,199187.0
22115,55-74 years,0.0,78524.0
22116,75+ years,0.0,4735.0
22117,15-24 years,1.0,220418.0
22118,25-34 years,7.0,301345.0
22119,35-54 years,6.0,325356.0
22120,5-14 years,0.0,207774.0
