id,age,suicides_no,population
10538,35-54 years,412.0,1913864.0
10539,5-14 years,6.0,672968.0
10540,55-74 years,357.0,1000596.0
10541,75+ years,245.0,283396.0
10542,15-24 years,20.0,729372.0
10543,25-34 years,20.0,714544.0
10544,35-54 years,94.0,1903641.0
10545,5-14 years,4.0,621473.0
10546,55-74 years,111.0,1052791.0
10547,75+ years,49.0,376280.0
10548,15-24 years,47.0,778739.0
10549,25-34 years,96.0,738010.0
10550,35-54 years,436.0,1911139.0
10551,5-14 years,5.0,659106.0
10552,55-74 years,401.0,1014211.0
10553,75+ years,216.0,293384.0
10554,15-24 years,19.0,711945.0
10555,25-34 years,12.0,732841.0
10556,35-54 years,107.0,1891607.0
10557,5-14 years,2.0,610054.0
10558,55-74 years,116.0,1074729.0
10559,75+ years,51.0,388520.0
10560,15-24 years,62.0,761440.0
10561,25-34 years,97.0,758006.0
10562,35-54 years,409.0,1899900.0
10563,5-14 years,9.0,646878.0
10564,55-74 years,348.0,1034381.0
10565,75+ years,221.0,303110.0
10566,15-24 years,17.0,696005.0
10567,25-34 years,21.0,746139.0
10568,35-54 years,102.0,1870168.0
10569,5-14 years,0.0,600657.0
10570,55-74 years,104.0,1106391.0
10571,75+ years,56.0,400826.0
10572,15-24 years,56.0,745157.0
10573,25-34 years,82.0,773518.0
10574,35-54 years,418.0,1879569.0
10575,5-14 years,4.0,636828.0
10576,55-74 years,394.0,1064263.0
10577,75+ years,257.0,312547.0
10578,15-24 years,0.0,73855.0
10579,25-34 years,0.0,70201.0
10580,35-54 years,0.0,119889.0
10581,5-14 years,0.0,69281.0
10582,55-74 years,0.0,69881.0
10583,75+ years,0.0,22730.0
10584,15-24 years,0.0,81348.0
10585,25-34 years,0.0,72963.0
10586,35-54 years,0.0,122486.0
10587,5-14 years,0.0,73496.0
10588,55-74 years,1.0,63504.0
10589,75+ years,0.0,17099.0
10590,15-24 years,0.0,75880.0
10591,25-34 years,0.0,71455.0
10592,35-54 years,0.0,122632.0
10593,5-14 years,0.0,69500.0
10594,55-74 years,0.0,72098.0
10595,75+ years,0.0,23228.0
10596,15-24 years,0.0,84119.0
10597,25-34 years,5.0,73992.0
10598,35-54 years,2.0,125288.0
10599,5-14 years,0.0,73737.0
10600,55-74 years,0.0,66009.0
10601,75+ years,0.0,17291.0
10602,15-24 years,,54859.0
10603,25-34 years,,52521.0
10604,35-54 years,,101589.0
10605,5-14 years,,52071.0
10606,55-74 years,,61502.0
10607,75+ years,,20292.0
10608,15-24 years,,56933.0
10609,25-34 years,,47848.0
10610,35-54 years,,97177.0
10611,5-14 years,,55071.0
10612,55-74 years,,56016.0
10613,75+ years,,15222.0
10614,15-24 years,,55587.0
10615,25-34 years,,52976.0
10616,35-54 years,,102749.0
10617,5-14 years,,51164.0
10618,55-74 years,,63460.0
10619,75+ years,,21724.0
10620,15-24 years,,57895.0
10621,25-34 years,,48711.0
10622,35-54 years,,97830.0
10623,5-14 years,,54190.0
10624,55-74 years,,58273.0
10625,75+ years,,16190.0
10626,15-24 years,0.0,56410.0
10627,25-34 years,1.0,54147.0
10628,35-54 years,1.0,104038.0
10629,5-14 years,0.0,50624.0
10630,55-74 years,0.0,65412.0
10631,75+ years,0.0,22299.0
10632,15-24 years,0.0,59250.0
10633,25-34 years,0.0,49934.0
10634,35-54 years,3.0,98485.0
10635,5-14 years,0.0,53202.0
10636,55-74 years,2.0,60428.0
10637,75+ years,0.0,16387.0
10638,15-24 years,1.0,57341.0
10639,25-34 years,0.0,55734.0
10640,35-54 years,1.0,105435.0
10641,5-14 years,0.0,49682.0
10642,55-74 years,3.0,67452.0
10643,75+ years,0.0,22842.0
10644,15-24 years,2.0,60126.0
10645,25-34 years,2.0,51837.0
10646,35-54 years,4.0,99191.0
10647,5-14 years,0.0,52329.0
10648,55-74 years,4.0,62661.0
10649,75+ years,0.0,16633.0
10650,15-24 years,0.0,58243.0
10651,25-34 years,1.0,57514.0
10652,35-54 years,3.0,107098.0
10653,5-14 years,0.0,48947.0
10654,55-74 years,3.0,69357.0
10655,75+ years,0.0,23595.0
10656,15-24 years,1.0,61353.0
10657,25-34 years,4.0,53856.0
10658,35-54 years,2.0,100123.0
10659,5-14 years,0.0,51269.0
10660,55-74 years,5.0,64866.0
10661,75+ years,0.0,17205.0
10662,15-24 years,0.0,60276.0
10663,25-34 years,2.0,59428.0
10664,35-54 years,1.0,109618.0
10665,5-14 years,0.0,47379.0
10666,55-74 years,1.0,71415.0
10667,75+ years,0.0,24362.0
10668,15-24 years,3.0,63227.0
10669,25-34 years,4.0,55768.0
10670,35-54 years,3.0,101951.0
10671,5-14 years,0.0,49978.0
10672,55-74 years,3.0,67267.0
10673,75+ years,2.0,17897.0
10674,15-24 years,0.0,61894.0
10675,25-34 years,3.0,62348.0
10676,35-54 years,5.0,112837.0
10677,5-14 years,0.0,46407.0
10678,55-74 years,2.0,73788.0
10679,75+ years,0.0,25015.0
10680,15-24 years,3.0,64765.0
10681,25-34 years,7.0,58499.0
10682,35-54 years,16.0,104052.0
10683,5-14 years,0.0,49044.0
10684,55-74 years,3.0,69949.0
10685,75+ years,2.0,18436.0
10686,15-24 years,0.0,63385.0
10687,25-34 years,2.0,66001.0
10688,35-54 years,4.0,116224.0
10689,5-14 years,0.0,45750.0
10690,55-74 years,0.0,76382.0
10691,75+ years,1.0,25758.0
10692,15-24 years,5.0,66107.0
10693,25-34 years,6.0,61663.0
10694,35-54 years,7.0,105858.0
10695,5-14 years,0.0,48319.0
10696,55-74 years,4.0,72713.0
10697,75+ years,3.0,19014.0
10698,15-24 years,3.0,64577.0
10699,25-34 years,0.0,69866.0
10700,35-54 years,4.0,119200.0
10701,5-14 years,0.0,45354.0
10702,55-74 years,1.0,79168.0
10703,75+ years,0.0,26570.0
10704,15-24 years,4.0,67097.0
10705,25-34 years,7.0,65092.0
10706,35-54 years,9.0,107241.0
10707,5-14 years,0.0,47682.0
10708,55-74 years,7.0,75567.0
10709,75+ years,3.0,19667.0
10710,15-24 years,0.0,64690.0
10711,25-34 years,0.0,73838.0
10712,35-54 years,3.0,122543.0
10713,5-14 years,0.0,44757.0
10714,55-74 years,1.0,80672.0
10715,75+ years,1.0,25937.0
10716,15-24 years,3.0,67311.0
10717,25-34 years,0.0,68773.0
10718,35-54 years,12.0,108755.0
10719,5-14 years,0.0,47189.0
10720,55-74 years,8.0,77047.0
10721,75+ years,2.0,19308.0
10722,15-24 years,0.0,63355.0
10723,25-34 years,1.0,75365.0
10724,35-54 years,1.0,125423.0
10725,5-14 years,0.0,44613.0
10726,55-74 years,0.0,83946.0
10727,75+ years,0.0,27031.0
10728,15-24 years,6.0,66014.0
10729,25-34 years,9.0,70596.0
10730,35-54 years,14.0,110616.0
10731,5-14 years,0.0,47222.0
10732,55-74 years,5.0,79804.0
10733,75+ years,0.0,20320.0
10734,15-24 years,0.0,59969.0
10735,25-34 years,0.0,73849.0
10736,35-54 years,4.0,125846.0
10737,5-14 years,0.0,44407.0
10738,55-74 years,1.0,86452.0
10739,75+ years,0.0,28320.0
10740,15-24 years,8.0,62893.0
10741,25-34 years,8.0,70521.0
10742,35-54 years,11.0,110593.0
10743,5-14 years,0.0,46914.0
10744,55-74 years,10.0,81903.0
10745,75+ years,3.0,21349.0
10746,15-24 years,3.0,59114.0
10747,25-34 years,4.0,72330.0
10748,35-54 years,1.0,122485.0
10749,5-14 years,0.0,44760.0
10750,55-74 years,5.0,87152.0
10751,75+ years,0.0,29382.0
10752,15-24 years,2.0,60975.0
10753,25-34 years,8.0,68555.0
10754,35-54 years,13.0,107823.0
10755,5-14 years,0.0,47104.0
10756,55-74 years,7.0,82766.0
10757,75+ years,1.0,22372.0
10758,15-24 years,1.0,58123.0
10759,25-34 years,2.0,70765.0
10760,,,
10761,35-54 years,3.0,118975.0
10762,5-14 years,0.0,44693.0
10763,55-74 years,3.0,87902.0
10764,75+ years,0.0,29924.0
10765,15-24 years,5.0,58308.0
10766,25-34 years,7.0,67482.0
10767,35-54 years,10.0,106371.0
10768,5-14 years,0.0,46906.0
10769,55-74 years,9.0,83627.0
10770,75+ years,0.0,22961.0
10771,15-24 years,0.0,58057.0
10772,25-34 years,1.0,71307.0
10773,35-54 years,3.0,117819.0
10774,5-14 years,0.0,44871.0
10775,55-74 years,1.0,90294.0
10776,75+ years,0.0,31234.0
10777,15-24 years,5.0,58051.0
10778,25-34 years,2.0,68167.0
10779,35-54 years,15.0,106925.0
10780,5-14 years,0.0,46807.0
10781,55-74 years,7.0,85486.0
10782,75+ years,2.0,24004.0
10783,15-24 years,,674600.0
10784,25-34 years,,747100.0
10785,35-54 years,,1328500.0
10786,5-14 years,,841600.0
10787,55-74 years,,1045100.0
10788,75+ years,,348600.0
10789,15-24 years,,705500.0
10790,25-34 years,,772200.0
10791,35-54 years,,1316400.0
10792,5-14 years,,882400.0
10793,55-74 years,,819000.0
10794,75+ years,,171400.0
10795,15-24 years,34.0,686200.0
10796,25-34 years,71.0,724700.0
10797,35-54 years,161.0,1349300.0
10798,5-14 years,0.0,837400.0
10799,55-74 years,238.0,1040100.0
10800,75+ years,127.0,353200.0
10801,15-24 years,106.0,717300.0
10802,25-34 years,240.0,751400.0
10803,35-54 years,519.0,1338700.0
10804,5-14 years,11.0,878200.0
10805,55-74 years,410.0,816000.0
10806,75+ years,249.0,174000.0
10807,15-24 years,29.0,694000.0
10808,25-34 years,55.0,715200.0
10809,35-54 years,143.0,1360200.0
10810,5-14 years,1.0,832900.0
10811,55-74 years,197.0,1037200.0
10812,75+ years,126.0,355800.0
10813,15-24 years,101.0,725800.0
10814,25-34 years,229.0,742100.0
10815,35-54 years,481.0,1350700.0
10816,5-14 years,8.0,873300.0
10817,55-74 years,358.0,814600.0
10818,75+ years,208.0,175200.0
10819,15-24 years,35.0,709200.0
10820,25-34 years,49.0,700400.0
10821,35-54 years,169.0,1381900.0
10822,5-14 years,1.0,817800.0
10823,55-74 years,217.0,1029900.0
10824,75+ years,132.0,361900.0
10825,15-24 years,112.0,742500.0
10826,25-34 years,195.0,727600.0
10827,35-54 years,479.0,1374000.0
10828,5-14 years,20.0,857000.0
10829,55-74 years,378.0,810600.0
10830,75+ years,176.0,178700.0
10831,15-24 years,30.0,726800.0
10832,25-34 years,49.0,692100.0
10833,35-54 years,167.0,1404400.0
10834,5-14 years,1.0,794300.0
10835,55-74 years,188.0,1021100.0
10836,75+ years,111.0,366900.0
10837,15-24 years,110.0,761500.0
10838,25-34 years,172.0,720500.0
10839,35-54 years,510.0,1397900.0
10840,5-14 years,8.0,831900.0
10841,55-74 years,374.0,804700.0
10842,75+ years,192.0,181400.0
10843,15-24 years,34.0,747900.0
10844,25-34 years,53.0,684200.0
10845,35-54 years,150.0,1426600.0
10846,5-14 years,1.0,767500.0
10847,55-74 years,196.0,1017200.0
10848,75+ years,129.0,364700.0
10849,15-24 years,99.0,783000.0
10850,25-34 years,176.0,713900.0
10851,35-54 years,571.0,1421800.0
10852,5-14 years,5.0,804100.0
10853,55-74 years,385.0,800800.0
10854,75+ years,198.0,179200.0
10855,15-24 years,33.0,766400.0
10856,25-34 years,45.0,668900.0
10857,35-54 years,157.0,1443700.0
10858,5-14 years,1.0,735500.0
10859,55-74 years,171.0,1024900.0
10860,75+ years,104.0,352900.0
10861,15-24 years,116.0,802000.0
10862,25-34 years,176.0,693100.0
10863,35-54 years,554.0,1432400.0
10864,5-14 years,14.0,771400.0
10865,55-74 years,365.0,805100.0
10866,75+ years,168.0,171200.0
10867,15-24 years,22.0,789000.0
10868,25-34 years,52.0,660200.0
10869,35-54 years,164.0,1465300.0
10870,5-14 years,0.0,710300.0
10871,55-74 years,164.0,1035800.0
10872,75+ years,104.0,337800.0
10873,15-24 years,122.0,825400.0
10874,25-34 years,172.0,685500.0
10875,35-54 years,623.0,1454300.0
10876,5-14 years,9.0,745800.0
10877,55-74 years,394.0,811100.0
10878,75+ years,165.0,161400.0
10879,15-24 years,35.0,810500.0
10880,25-34 years,46.0,655900.0
10881,35-54 years,159.0,1482300.0
10882,5-14 years,0.0,687600.0
10883,55-74 years,155.0,1049400.0
10884,75+ years,110.0,322400.0
10885,15-24 years,139.0,847600.0
10886,25-34 years,159.0,682100.0
10887,35-54 years,592.0,1472000.0
10888,5-14 years,12.0,722000.0
10889,55-74 years,355.0,819300.0
10890,75+ years,155.0,152300.0
10891,15-24 years,31.0,828100.0
10892,25-34 years,41.0,658900.0
10893,35-54 years,177.0,1491800.0
10894,5-14 years,2.0,666800.0
10895,55-74 years,176.0,1057000.0
10896,75+ years,104.0,314000.0
10897,15-24 years,148.0,865700.0
10898,25-34 years,177.0,686000.0
10899,35-54 years,522.0,1482500.0
10900,5-14 years,11.0,699800.0
10901,55-74 years,333.0,825100.0
10902,75+ years,150.0,148000.0
10903,15-24 years,35.0,837000.0
10904,25-34 years,25.0,668100.0
10905,35-54 years,138.0,1494200.0
10906,5-14 years,4.0,651600.0
10907,55-74 years,150.0,1056900.0
10908,75+ years,97.0,317400.0
10909,15-24 years,161.0,874900.0
10910,25-34 years,180.0,695700.0
10911,35-54 years,524.0,1486300.0
10912,5-14 years,7.0,683100.0
10913,55-74 years,280.0,828300.0
10914,75+ years,132.0,150800.0
10915,15-24 years,24.0,835700.0
10916,25-34 years,26.0,679400.0
10917,35-54 years,117.0,1493000.0
10918,5-14 years,1.0,642600.0
10919,55-74 years,117.0,1054200.0
10920,75+ years,77.0,327500.0
10921,15-24 years,142.0,873600.0
10922,25-34 years,162.0,708200.0
10923,35-54 years,488.0,1487000.0
10924,5-14 years,8.0,673700.0
10925,55-74 years,266.0,831800.0
10926,75+ years,140.0,157200.0
10927,15-24 years,21.0,828400.0
10928,25-34 years,32.0,693900.0
10929,35-54 years,134.0,1492200.0
10930,5-14 years,1.0,634800.0
10931,55-74 years,106.0,1051400.0
10932,75+ years,61.0,340800.0
10933,15-24 years,136.0,865600.0
10934,25-34 years,165.0,724200.0
10935,35-54 years,550.0,1487400.0
10936,5-14 years,5.0,666600.0
10937,55-74 years,333.0,836100.0
10938,75+ years,122.0,165300.0
10939,15-24 years,31.0,813700.0
10940,25-34 years,20.0,710600.0
10941,35-54 years,110.0,1490700.0
10942,5-14 years,3.0,627200.0
10943,55-74 years,116.0,1053700.0
10944,75+ years,65.0,354800.0
10945,15-24 years,126.0,849600.0
10946,25-34 years,179.0,742300.0
10947,35-54 years,554.0,1487500.0
10948,5-14 years,5.0,659000.0
10949,55-74 years,277.0,845700.0
10950,75+ years,127.0,173500.0
10951,15-24 years,24.0,790478.0
10952,25-34 years,32.0,728994.0
10953,35-54 years,107.0,1488619.0
10954,5-14 years,0.0,616895.0
10955,55-74 years,94.0,1061220.0
10956,75+ years,68.0,368195.0
10957,15-24 years,144.0,824827.0
10958,25-34 years,173.0,761534.0
10959,35-54 years,509.0,1488504.0
10960,5-14 years,3.0,648214.0
10961,55-74 years,302.0,860656.0
10962,75+ years,154.0,181079.0
10963,15-24 years,25.0,763848.0
10964,25-34 years,26.0,751117.0
10965,35-54 years,120.0,1487345.0
10966,5-14 years,4.0,600843.0
10967,55-74 years,113.0,1069748.0
10968,75+ years,63.0,380114.0
10969,15-24 years,139.0,797534.0
10970,25-34 years,174.0,783436.0
10971,35-54 years,546.0,1490793.0
10972,5-14 years,8.0,631794.0
10973,55-74 years,294.0,875298.0
10974,75+ years,137.0,187872.0
10975,15-24 years,19.0,745082.0
10976,25-34 years,30.0,772655.0
10977,35-54 years,129.0,1476998.0
10978,5-14 years,2.0,586157.0
10979,55-74 years,92.0,1084169.0
10980,75+ years,57.0,387754.0
10981,15-24 years,133.0,779015.0
10982,25-34 years,172.0,809431.0
10983,35-54 years,558.0,1489505.0
10984,5-14 years,4.0,617745.0
10985,55-74 years,285.0,897842.0
10986,75+ years,142.0,191730.0
10987,15-24 years,26.0,714488.0
10988,25-34 years,30.0,788166.0
10989,35-54 years,108.0,1451319.0
10990,5-14 years,1.0,563932.0
10991,55-74 years,86.0,1105366.0
10992,75+ years,67.0,395065.0
10993,15-24 years,91.0,746413.0
10994,25-34 years,180.0,818936.0
10995,35-54 years,518.0,1458286.0
10996,5-14 years,5.0,592734.0
10997,55-74 years,282.0,921139.0
10998,75+ years,140.0,196619.0
10999,15-24 years,22.0,694102.0
11000,25-34 years,29.0,810207.0
11001,35-54 years,127.0,1431458.0
11002,5-14 years,3.0,544809.0
11003,55-74 years,99.0,1129314.0
11004,75+ years,74.0,403426.0
11005,15-24 years,116.0,726604.0
11006,25-34 years,206.0,842279.0
11007,35-54 years,572.0,1441293.0
11008,5-14 years,6.0,573339.0
11009,55-74 years,307.0,949402.0
11010,75+ years,158.0,202317.0
11011,15-24 years,14.0,676084.0
11012,25-34 years,24.0,829828.0
11013,35-54 years,99.0,1417483.0
11014,5-14 years,3.0,525775.0
11015,55-74 years,95.0,1150600.0
11016,75+ years,62.0,411827.0
11017,15-24 years,110.0,707587.0
11018,25-34 years,193.0,862649.0
11019,35-54 years,540.0,1429901.0
11020,5-14 years,5.0,553266.0
11021,55-74 years,317.0,973192.0
11022,75+ years,121.0,208455.0
11023,15-24 years,16.0,663458.0
11024,25-34 years,33.0,841934.0
11025,35-54 years,109.0,1408555.0
11026,5-14 years,2.0,506842.0
11027,55-74 years,82.0,1171511.0
11028,75+ years,50.0,420901.0
11029,15-24 years,85.0,695191.0
11030,25-34 years,208.0,877897.0
11031,35-54 years,516.0,1427262.0
11032,5-14 years,4.0,534812.0
11033,55-74 years,347.0,998004.0
11034,75+ years,113.0,215366.0
11035,15-24 years,12.0,658122.0
11036,25-34 years,20.0,845584.0
11037,35-54 years,95.0,1401646.0
11038,5-14 years,0.0,488298.0
11039,55-74 years,90.0,1193318.0
11040,75+ years,41.0,430258.0
11041,15-24 years,101.0,690682.0
11042,25-34 years,155.0,884745.0
11043,35-54 years,459.0,1426930.0
11044,5-14 years,3.0,515573.0
11045,55-74 years,299.0,1022887.0
11046,75+ years,125.0,222276.0
11047,15-24 years,15.0,654550.0
11048,25-34 years,21.0,846092.0
11049,35-54 years,73.0,1400706.0
11050,5-14 years,0.0,472986.0
11051,55-74 years,72.0,1216178.0
11052,75+ years,49.0,438726.0
11053,15-24 years,100.0,690165.0
11054,25-34 years,176.0,888983.0
11055,35-54 years,440.0,1434256.0
11056,5-14 years,2.0,499126.0
11057,55-74 years,322.0,1047512.0
11058,75+ years,109.0,229015.0
11059,15-24 years,14.0,653487.0
11060,25-34 years,32.0,842858.0
11061,35-54 years,88.0,1412333.0
11062,5-14 years,1.0,461711.0
11063,55-74 years,84.0,1241767.0
11064,75+ years,37.0,446156.0
11065,15-24 years,96.0,692756.0
11066,25-34 years,162.0,892070.0
11067,35-54 years,434.0,1457201.0
11068,5-14 years,3.0,487813.0
11069,55-74 years,291.0,1075692.0
11070,75+ years,137.0,235750.0
11071,15-24 years,16.0,646079.0
11072,25-34 years,18.0,827079.0
11073,35-54 years,79.0,1428022.0
11074,5-14 years,1.0,453948.0
11075,55-74 years,78.0,1265312.0
11076,75+ years,42.0,450517.0
11077,15-24 years,81.0,685218.0
11078,25-34 years,199.0,880108.0
11079,35-54 years,476.0,1480738.0
11080,5-14 years,2.0,479988.0
11081,55-74 years,337.0,1100133.0
11082,75+ years,135.0,240265.0
11083,15-24 years,20.0,629937.0
11084,25-34 years,26.0,805752.0
11085,35-54 years,87.0,1445352.0
11086,5-14 years,0.0,454268.0
11087,55-74 years,84.0,1288749.0
11088,75+ years,40.0,453417.0
11089,15-24 years,94.0,665538.0
11090,25-34 years,168.0,858416.0
11091,35-54 years,473.0,1499075.0
11092,5-14 years,1.0,479853.0
11093,55-74 years,394.0,1121705.0
11094,75+ years,115.0,243211.0
11095,15-24 years,19.0,602033.0
11096,25-34 years,28.0,771896.0
11097,35-54 years,86.0,1456523.0
11098,5-14 years,0.0,457594.0
11099,55-74 years,77.0,1312571.0
11100,75+ years,43.0,454906.0
11101,15-24 years,120.0,632356.0
11102,25-34 years,173.0,818695.0
11103,35-54 years,500.0,1517715.0
11104,5-14 years,2.0,483911.0
11105,55-74 years,424.0,1152114.0
11106,75+ years,118.0,246004.0
11107,15-24 years,10.0,581629.0
11108,25-34 years,22.0,750032.0
11109,35-54 years,94.0,1471892.0
11110,5-14 years,1.0,468843.0
11111,55-74 years,106.0,1333013.0
11112,75+ years,45.0,456859.0
11113,15-24 years,84.0,609704.0
11114,25-34 years,179.0,796162.0
11115,35-54 years,538.0,1537251.0
11116,5-14 years,3.0,495721.0
11117,55-74 years,430.0,1173069.0
11118,75+ years,146.0,248952.0
11119,15-24 years,15.0,560391.0
11120,25-34 years,30.0,729365.0
11121,35-54 years,108.0,1488299.0
11122,5-14 years,2.0,483804.0
11123,55-74 years,92.0,1347862.0
11124,75+ years,36.0,459282.0
11125,15-24 years,108.0,586871.0
11126,25-34 years,168.0,773130.0
11127,35-54 years,485.0,1556338.0
11128,5-14 years,5.0,510895.0
11129,55-74 years,399.0,1188011.0
11130,75+ years,129.0,252532.0
11131,15-24 years,11.0,540106.0
11132,25-34 years,26.0,711374.0
11133,35-54 years,94.0,1509758.0
11134,5-14 years,1.0,500027.0
11135,55-74 years,107.0,1356408.0
11136,75+ years,54.0,464061.0
11137,15-24 years,84.0,565782.0
11138,25-34 years,157.0,752372.0
11139,35-54 years,467.0,1580637.0
11140,5-14 years,1.0,527532.0
11141,55-74 years,364.0,1197687.0
11142,75+ years,123.0,257383.0
11143,15-24 years,19.0,521060.0
11144,25-34 years,20.0,698584.0
11145,35-54 years,86.0,1528289.0
11146,5-14 years,5.0,515457.0
11147,55-74 years,80.0,1358421.0
11148,75+ years,44.0,471092.0
11149,15-24 years,58.0,546597.0
11150,25-34 years,151.0,737221.0
11151,35-54 years,404.0,1602521.0
11152,5-14 years,2.0,543129.0
11153,55-74 years,373.0,1202553.0
11154,75+ years,145.0,264401.0
11155,15-24 years,22.0,502574.0
11156,25-34 years,34.0,691963.0
11157,35-54 years,91.0,1541109.0
11158,5-14 years,0.0,527513.0
11159,55-74 years,86.0,1358948.0
11160,75+ years,25.0,480884.0
11161,15-24 years,78.0,527890.0
11162,25-34 years,137.0,729199.0
11163,35-54 years,386.0,1617906.0
11164,5-14 years,0.0,555376.0
11165,55-74 years,319.0,1205832.0
11166,75+ years,140.0,273637.0
11167,15-24 years,,370100.0
11168,25-34 years,,388900.0
11169,35-54 years,,594900.0
11170,5-14 years,,373200.0
11171,55-74 years,,527700.0
11172,75+ years,,175000.0
11173,15-24 years,,387700.0
11174,25-34 years,,409500.0
11175,35-54 years,,598000.0
11176,5-14 years,,391800.0
11177,55-74 years,,465200.0
11178,75+ years,,108100.0
11179,15-24 years,,374700.0
11180,25-34 years,,383900.0
11181,35-54 years,,605500.0
11182,5-14 years,,368200.0
11183,55-74 years,,528400.0
11184,75+ years,,180300.0
11185,15-24 years,,392500.0
11186,25-34 years,,403200.0
11187,35-54 years,,611500.0
11188,5-14 years,,386000.0
11189,55-74 years,,465300.0
11190,75+ years,,109500.0
11191,15-24 years,,380000.0
11192,25-34 years,,377200.0
11193,35-54 years,,618000.0
11194,5-14 years,,360100.0
11195,55-74 years,,528400.0
11196,75+ years,,185300.0
11197,15-24 years,,397800.0
11198,25-34 years,,395300.0
11199,35-54 years,,626800.0
11200,5-14 years,,377100.0
11201,55-74 years,,464500.0
11202,75+ years,,111000.0
11203,15-24 years,,384400.0
11204,25-34 years,,370500.0
11205,35-54 years,,630800.0
11206,5-14 years,,350100.0
11207,55-74 years,,527300.0
11208,75+ years,,190600.0
11209,15-24 years,,402300.0
11210,25-34 years,,387500.0
11211,35-54 years,,642100.0
11212,5-14 years,,366700.0
11213,55-74 years,,463300.0
11214,75+ years,,112800.0
11215,15-24 years,,386100.0
11216,25-34 years,,365700.0
11217,35-54 years,,642400.0
11218,5-14 years,,342800.0
11219,55-74 years,,525100.0
11220,75+ years,,196000.0
11221,15-24 years,,404200.0
11222,25-34 years,,382200.0
11223,35-54 years,,655100.0
11224,5-14 years,,358900.0
11225,55-74 years,,461800.0
11226,75+ years,,115000.0
11227,15-24 years,,385800.0
11228,25-34 years,,363300.0
11229,35-54 years,,652100.0
11230,5-14 years,,337400.0
11231,55-74 years,,521800.0
11232,75+ years,,201600.0
11233,15-24 years,,404700.0
11234,25-34 years,,379600.0
11235,35-54 years,,666200.0
11236,5-14 years,,352700.0
11237,55-74 years,,459100.0
11238,75+ years,,117400.0
11239,15-24 years,,384700.0
11240,25-34 years,,362600.0
11241,35-54 years,,661100.0
11242,5-14 years,,331700.0
11243,55-74 years,,518200.0
11244,75+ years,,206900.0
11245,15-24 years,,404700.0
11246,25-34 years,,380000.0
11247,35-54 years,,676800.0
11248,5-14 years,,346400.0
11249,55-74 years,,455900.0
11250,75+ years,,119900.0
11251,15-24 years,,384400.0
11252,25-34 years,,363500.0
11253,35-54 years,,669700.0
11254,5-14 years,,323800.0
11255,55-74 years,,514700.0
11256,75+ years,,211500.0
11257,15-24 years,,406000.0
11258,25-34 years,,382300.0
11259,35-54 years,,686600.0
11260,5-14 years,,337800.0
11261,55-74 years,,452900.0
11262,75+ years,,122200.0
11263,15-24 years,,384600.0
11264,25-34 years,,365400.0
11265,35-54 years,,677900.0
11266,5-14 years,,313900.0
11267,55-74 years,,511000.0
11268,75+ years,,216300.0
11269,15-24 years,,406800.0
11270,25-34 years,,384700.0
11271,35-54 years,,696300.0
11272,5-14 years,,327300.0
11273,55-74 years,,449600.0
11274,75+ years,,124800.0
11275,15-24 years,,381900.0
11276,25-34 years,,367600.0
11277,35-54 years,,686700.0
11278,5-14 years,,303900.0
11279,55-74 years,,506900.0
11280,75+ years,,220600.0
11281,15-24 years,,403500.0
11282,25-34 years,,387200.0
11283,35-54 years,,706000.0
11284,5-14 years,,317200.0
11285,55-74 years,,446500.0
11286,75+ years,,127100.0
11287,15-24 years,,376900.0
11288,25-34 years,,371000.0
11289,35-54 years,,695200.0
11290,5-14 years,,294800.0
11291,55-74 years,,503300.0
11292,75+ years,,224400.0
11293,15-24 years,,397300.0
11294,25-34 years,,391300.0
11295,35-54 years,,714800.0
11296,5-14 years,,307600.0
11297,55-74 years,,444100.0
11298,75+ years,,129000.0
11299,15-24 years,,372700.0
11300,25-34 years,,375600.0
11301,35-54 years,,703100.0
11302,5-14 years,,285800.0
11303,55-74 years,,501100.0
11304,75+ years,,227000.0
11305,15-24 years,,391400.0
11306,25-34 years,,396300.0
11307,35-54 years,,723600.0
11308,5-14 years,,298400.0
11309,55-74 years,,443200.0
11310,75+ years,,130300.0
11311,15-24 years,,365900.0
11312,25-34 years,,382400.0
11313,35-54 years,,711100.0
11314,5-14 years,,279400.0
11315,55-74 years,,499700.0
11316,75+ years,,229100.0
11317,15-24 years,,383600.0
11318,25-34 years,,403300.0
11319,35-54 years,,732300.0
11320,5-14 years,,291800.0
11321,55-74 years,,442700.0
11322,75+ years,,131200.0
11323,15-24 years,,356200.0
11324,25-34 years,,388500.0
11325,35-54 years,,718800.0
11326,5-14 years,,276800.0
11327,55-74 years,,499300.0
11328,75+ years,,230000.0
11329,15-24 years,,372800.0
11330,25-34 years,,410400.0
11331,35-54 years,,741100.0
11332,5-14 years,,289400.0
11333,55-74 years,,444000.0
11334,75+ years,,131500.0
11335,15-24 years,,350300.0
11336,25-34 years,,391700.0
11337,35-54 years,,725700.0
11338,5-14 years,,274800.0
11339,55-74 years,,499200.0
11340,75+ years,,231100.0
11341,15-24 years,,366300.0
11342,25-34 years,,413200.0
11343,35-54 years,,749000.0
11344,5-14 years,,287800.0
11345,55-74 years,,445800.0
11346,75+ years,,132000.0
11347,15-24 years,13.0,346100.0
11348,25-34 years,23.0,392600.0
11349,35-54 years,113.0,732100.0
11350,5-14 years,0.0,274900.0
11351,55-74 years,100.0,500000.0
